file,missing_value,month,unit,year
gpcp_1dd_v1.2_p1d.200109_monthlyAverage.npy,-99999.,09,mm/day,2001
gpcp_1dd_v1.2_p1d.200110_monthlyAverage.npy,-99999.,10,mm/day,2001
gpcp_1dd_v1.2_p1d.200111_monthlyAverage.npy,-99999.,11,mm/day,2001
gpcp_1dd_v1.2_p1d.200112_monthlyAverage.npy,-99999.,12,mm/day,2001
gpcp_1dd_v1.2_p1d.200201_monthlyAverage.npy,-99999.,01,mm/day,2002
gpcp_1dd_v1.2_p1d.200202_monthlyAverage.npy,-99999.,02,mm/day,2002
gpcp_1dd_v1.2_p1d.200203_monthlyAverage.npy,-99999.,03,mm/day,2002
gpcp_1dd_v1.2_p1d.200204_monthlyAverage.npy,-99999.,04,mm/day,2002
gpcp_1dd_v1.2_p1d.200205_monthlyAverage.npy,-99999.,05,mm/day,2002
gpcp_1dd_v1.2_p1d.200206_monthlyAverage.npy,-99999.,06,mm/day,2002
gpcp_1dd_v1.2_p1d.200207_monthlyAverage.npy,-99999.,07,mm/day,2002
gpcp_1dd_v1.2_p1d.200208_monthlyAverage.npy,-99999.,08,mm/day,2002
gpcp_1dd_v1.2_p1d.200209_monthlyAverage.npy,-99999.,09,mm/day,2002
gpcp_1dd_v1.2_p1d.200210_monthlyAverage.npy,-99999.,10,mm/day,2002
gpcp_1dd_v1.2_p1d.200211_monthlyAverage.npy,-99999.,11,mm/day,2002
gpcp_1dd_v1.2_p1d.200212_monthlyAverage.npy,-99999.,12,mm/day,2002
gpcp_1dd_v1.2_p1d.200301_monthlyAverage.npy,-99999.,01,mm/day,2003
gpcp_1dd_v1.2_p1d.200302_monthlyAverage.npy,-99999.,02,mm/day,2003
gpcp_1dd_v1.2_p1d.200303_monthlyAverage.npy,-99999.,03,mm/day,2003
gpcp_1dd_v1.2_p1d.200304_monthlyAverage.npy,-99999.,04,mm/day,2003
gpcp_1dd_v1.2_p1d.200305_monthlyAverage.npy,-99999.,05,mm/day,2003
gpcp_1dd_v1.2_p1d.200306_monthlyAverage.npy,-99999.,06,mm/day,2003
